Car, wantsToDriveAtHour
1, 5
1, 6
1, 7
1, 8
1, 9
1, 10
1, 11
1, 12
1, 13
2, 1
2, 2
2, 3
2, 4
2, 5
2, 6
2, 7
3, 22
3, 23
3, 24
3, 1
3, 2
3, 3
3, 4
3, 5
3, 6
3, 7
3, 8
3, 9
3, 10
4, 16
4, 17
4, 18
4, 19
4, 20
4, 21
5, 2
5, 3
5, 4
5, 5
6, 18
6, 19
6, 20
6, 23
6, 24
6, 1
6, 2
6, 3
6, 4
7, 12
7, 13
7, 14
7, 15
7, 16
8, 6
8, 7
8, 8
8, 9
8, 10
8, 11
8, 12
8, 13
9, 4
9, 5
9, 6
9, 7
10, 23
10, 24
10, 1
10, 2
10, 3
10, 4
10, 5
10, 6
10, 7
10, 8
10, 9
10, 10
10, 11
10, 12
10, 13
11, 6
11, 7
11, 8
11, 9
11, 10
12, 3
12, 4
12, 5
12, 6
12, 7
12, 8
12, 9
12, 10
13, 8
13, 9
13, 10
13, 11
14, 20
14, 21
14, 22
14, 23
14, 24
14, 1
15, 5
15, 6
15, 7
15, 8
15, 9
15, 10
15, 11
